N_qubits,beta,gamma,Prof_p,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
3,0.1,0.5,2,50,0.05,0.5,32.4517,1.0,2.6645352591003757e-15,0.7000000000000024,0.2999999999999976
3,0.1,0.5,2,100,0.05,0.5,86.4709,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
3,0.1,0.5,3,50,0.05,0.5,44.2525,-1.1,0.0999999999999992,0.8000000000000025,0.1999999999999975
3,0.1,0.5,3,100,0.05,0.5,96.0146,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
3,0.1,0.5,4,50,0.05,0.5,45.3112,0.9,0.09999999999999742,-0.9999999999999991,8.881784197001252e-16
3,0.1,0.5,4,100,0.05,0.5,84.7282,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
3,0.1,0.25,2,50,0.05,0.5,45.2061,-1.2,0.1999999999999993,0.9000000000000026,0.09999999999999742
3,0.1,0.25,2,100,0.05,0.5,86.6512,-1.0,8.881784197001252e-16,-1.1999999999999993,0.1999999999999993
3,0.1,0.25,3,50,0.05,0.5,47.8206,1.0,2.6645352591003757e-15,-1.0999999999999992,0.0999999999999992
3,0.1,0.25,3,100,0.05,0.5,76.8057,-1.1,0.0999999999999992,0.6000000000000023,0.3999999999999977
3,0.1,0.25,4,50,0.05,0.5,43.7617,-1.1,0.0999999999999992,-1.0999999999999992,0.0999999999999992
3,0.1,0.25,4,100,0.05,0.5,91.3237,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
3,0.1,0.1,2,50,0.05,0.5,34.3717,0.9,0.09999999999999742,-1.1999999999999993,0.1999999999999993
3,0.1,0.1,2,100,0.05,0.5,73.8526,-1.1,0.0999999999999992,-1.1999999999999993,0.1999999999999993
3,0.1,0.1,3,50,0.05,0.5,36.4297,-1.2,0.1999999999999993,-1.1999999999999993,0.1999999999999993
3,0.1,0.1,3,100,0.05,0.5,74.7596,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
3,0.1,0.1,4,50,0.05,0.5,33.0347,-1.0,8.881784197001252e-16,-1.1999999999999993,0.1999999999999993
3,0.1,0.1,4,100,0.05,0.5,82.0077,1.0,2.6645352591003757e-15,-1.1999999999999993,0.1999999999999993
3,0.1,0.05,2,50,0.05,0.5,38.1847,-1.5,0.49999999999999956,1.1000000000000028,0.10000000000000275
3,0.1,0.05,2,100,0.05,0.5,66.9937,1.1,0.10000000000000275,-1.2999999999999994,0.2999999999999994
3,0.1,0.05,3,50,0.05,0.5,33.9867,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
3,0.1,0.05,3,100,0.05,0.5,67.3346,-1.0,8.881784197001252e-16,-1.1999999999999993,0.1999999999999993
3,0.1,0.05,4,50,0.05,0.5,34.1487,-1.2,0.1999999999999993,-0.9999999999999991,8.881784197001252e-16
3,0.1,0.05,4,100,0.05,0.5,82.9826,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
3,0.1,0.01,2,50,0.05,0.5,42.1327,0.8,0.1999999999999975,-1.3999999999999995,0.39999999999999947
3,0.1,0.01,2,100,0.05,0.5,77.5667,-1.3,0.2999999999999994,-0.7999999999999989,0.20000000000000107
3,0.1,0.01,3,50,0.05,0.5,38.9097,-1.4,0.39999999999999947,0.6000000000000023,0.3999999999999977
3,0.1,0.01,3,100,0.05,0.5,87.3546,-1.5,0.49999999999999956,-0.9999999999999991,8.881784197001252e-16
3,0.1,0.01,4,50,0.05,0.5,38.2237,-1.3,0.2999999999999994,1.500000000000003,0.5000000000000031
3,0.1,0.01,4,100,0.05,0.5,85.6592,-1.2,0.1999999999999993,-1.3999999999999995,0.39999999999999947
4,0.5,0.5,2,50,0.05,0.5,171.508,0.9,0.09999999999999742,-0.9999999999999991,8.881784197001252e-16
4,0.5,0.5,2,100,0.05,0.5,366.2655,0.9,0.09999999999999742,-0.9999999999999991,8.881784197001252e-16
4,0.5,0.5,3,50,0.05,0.5,186.0795,0.7,0.2999999999999976,1.7000000000000033,0.7000000000000033
4,0.5,0.5,3,100,0.05,0.5,395.0446,-1.0,8.881784197001252e-16,0.6000000000000023,0.3999999999999977
4,0.5,0.5,4,50,0.05,0.5,173.4415,0.8,0.1999999999999975,-0.9999999999999991,8.881784197001252e-16
4,0.5,0.5,4,100,0.05,0.5,316.8495,0.8,0.1999999999999975,-0.9999999999999991,8.881784197001252e-16
4,0.5,0.25,2,50,0.05,0.5,148.7135,-1.2,0.1999999999999993,0.7000000000000024,0.2999999999999976
4,0.5,0.25,2,100,0.05,0.5,255.4635,-1.2,0.1999999999999993,0.7000000000000024,0.2999999999999976
4,0.5,0.25,3,50,0.05,0.5,191.3885,-1.0,8.881784197001252e-16,0.6000000000000023,0.3999999999999977
4,0.5,0.25,3,100,0.05,0.5,413.2106,0.9,0.09999999999999742,-0.9999999999999991,8.881784197001252e-16
4,0.5,0.25,4,50,0.05,0.5,169.4494,-1.0,8.881784197001252e-16,-1.3999999999999995,0.39999999999999947
4,0.5,0.25,4,100,0.05,0.5,296.7555,0.9,0.09999999999999742,1.6000000000000032,0.6000000000000032
4,0.5,0.1,2,50,0.05,0.5,228.1195,-1.2,0.1999999999999993,-0.9999999999999991,8.881784197001252e-16
4,0.5,0.1,2,100,0.05,0.5,400.5535,-0.9,0.10000000000000098,-1.1999999999999993,0.1999999999999993
4,0.5,0.1,3,50,0.05,0.5,213.1165,-1.0,8.881784197001252e-16,-1.0999999999999992,0.0999999999999992
4,0.5,0.1,3,100,0.05,0.5,367.9045,-1.1,0.0999999999999992,-1.2999999999999994,0.2999999999999994
4,0.5,0.1,4,50,0.05,0.5,153.8615,-1.1,0.0999999999999992,0.5000000000000022,0.4999999999999978
4,0.5,0.1,4,100,0.05,0.5,352.2225,-1.3,0.2999999999999994,-1.1999999999999993,0.1999999999999993
4,0.5,0.05,2,50,0.05,0.5,157.1155,-1.2,0.1999999999999993,0.6000000000000023,0.3999999999999977
4,0.5,0.05,2,100,0.05,0.5,334.4145,-1.3,0.2999999999999994,-0.899999999999999,0.10000000000000098
4,0.5,0.05,3,50,0.05,0.5,168.0305,-0.2,0.8000000000000016,-0.9999999999999991,8.881784197001252e-16
4,0.5,0.05,3,100,0.05,0.5,359.2905,-0.9,0.10000000000000098,0.8000000000000025,0.1999999999999975
4,0.5,0.05,4,50,0.05,0.5,192.9595,-1.2,0.1999999999999993,0.5000000000000022,0.4999999999999978
4,0.5,0.05,4,100,0.05,0.5,352.5776,-1.1,0.0999999999999992,0.9000000000000026,0.09999999999999742
4,0.5,0.01,2,50,0.05,0.5,207.5845,0.5,0.4999999999999978,-1.3999999999999995,0.39999999999999947
4,0.5,0.01,2,100,0.05,0.5,379.9136,-1.0,8.881784197001252e-16,-0.6999999999999988,0.30000000000000115
4,0.5,0.01,3,50,0.05,0.5,200.9225,0.5,0.4999999999999978,-0.6999999999999988,0.30000000000000115
4,0.5,0.01,3,100,0.05,0.5,398.4245,-0.9,0.10000000000000098,-0.49999999999999867,0.5000000000000013
4,0.5,0.01,4,50,0.05,0.5,130.8205,-0.9,0.10000000000000098,0.7000000000000024,0.2999999999999976
4,0.5,0.01,4,100,0.05,0.5,347.7295,-1.1,0.0999999999999992,-1.2999999999999994,0.2999999999999994
4,0.3,0.5,2,50,0.05,0.5,131.1632,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
4,0.3,0.5,2,100,0.05,0.5,279.1327,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
4,0.3,0.5,3,50,0.05,0.5,142.7395,-1.0,8.881784197001252e-16,-1.9,0.8999999999999999
4,0.3,0.5,3,100,0.05,0.5,287.6606,-1.0,8.881784197001252e-16,-1.9,0.8999999999999999
4,0.3,0.5,4,50,0.05,0.5,209.2855,-1.0,8.881784197001252e-16,0.8000000000000025,0.1999999999999975
4,0.3,0.5,4,100,0.05,0.5,438.9636,-1.0,8.881784197001252e-16,-1.2999999999999994,0.2999999999999994
4,0.3,0.25,2,50,0.05,0.5,101.5616,-1.1,0.0999999999999992,0.7000000000000024,0.2999999999999976
4,0.3,0.25,2,100,0.05,0.5,231.5555,-1.1,0.0999999999999992,-1.1999999999999993,0.1999999999999993
4,0.3,0.25,3,50,0.05,0.5,177.3656,-1.0,8.881784197001252e-16,0.9000000000000026,0.09999999999999742
4,0.3,0.25,3,100,0.05,0.5,307.5034,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
4,0.3,0.25,4,50,0.05,0.5,229.1116,0.9,0.09999999999999742,-0.9999999999999991,8.881784197001252e-16
4,0.3,0.25,4,100,0.05,0.5,477.8051,-1.0,8.881784197001252e-16,0.7000000000000024,0.2999999999999976
4,0.3,0.1,2,50,0.05,0.5,165.1599,-1.1,0.0999999999999992,0.8000000000000025,0.1999999999999975
4,0.3,0.1,2,100,0.05,0.5,330.557,1.0,2.6645352591003757e-15,-0.9999999999999991,8.881784197001252e-16
4,0.3,0.1,3,50,0.05,0.5,138.7783,-1.0,8.881784197001252e-16,-0.899999999999999,0.10000000000000098
4,0.3,0.1,3,100,0.05,0.5,351.4647,-0.8,0.20000000000000107,-1.1999999999999993,0.1999999999999993
4,0.3,0.1,4,50,0.05,0.5,175.4733,-1.0,8.881784197001252e-16,-1.1999999999999993,0.1999999999999993
