N_iter,N_mc,Toler,Learning rate,Tiempo ejecucion,Primer minimo,Δ True Min
2000,200,0.05,0.1,0.0336,1.2,0.0774999999999999
2000,200,0.05,0.05,0.0335,1.2,0.0774999999999999
2000,200,0.05,0.01,0.0357,2.9,1.7774999999999999
2000,200,0.05,0.0001,0.0359,1.8,0.6775
2000,200,0.01,0.1,0.0545,2.7,1.5775000000000001
2000,200,0.01,0.05,0.0417,1.3,0.1775
2000,200,0.01,0.01,0.0351,2.7,1.5775000000000001
2000,200,0.01,0.0001,0.0382,2.4,1.2774999999999999
2000,200,0.0001,0.1,6.0153,7.7598,6.6373
2000,200,0.0001,0.05,6.1144,2.9,1.7774999999999999
2000,200,0.0001,0.01,2.6558,2.7,1.5775000000000001
2000,200,0.0001,0.0001,0.0334,2.5,1.3775
