N_iter,Min_dist,N_mc,Toler,Tiempo ejecucion,Primer minimo,Δ True Min,Segundo minimo,Δ True Min2
2000,0.2,100,0.05,0.3162,-0.0004,0.9996,-1.0078,0.007800000000000029
2000,0.2,100,0.01,0.4064,-1.0002,0.00019999999999997797,-0.0,1.0
2000,0.2,100,0.0001,0.451,1.0,0.0,-1.0,0.0
2000,0.2,150,0.1,0.4809,1.0216,0.021600000000000064,-1.0635,0.06349999999999989
2000,0.2,150,0.05,0.502,1.0159,0.015900000000000025,-1.0149,0.014899999999999913
2000,0.2,150,0.01,0.6514,-0.0,1.0,-1.0005,0.0004999999999999449
2000,0.2,150,0.0001,0.6005,1.0,0.0,-1.0,0.0
2000,0.2,200,0.1,0.6211,0.008,0.992,1.0217,0.021700000000000053
2000,0.2,200,0.05,0.6498,1.0191,0.019099999999999895,-1.0071,0.007100000000000106
2000,0.2,200,0.01,0.7615,-0.0,1.0,-1.0002,0.00019999999999997797
2000,0.2,200,0.0001,0.9353,-1.0,0.0,1.0,0.0
2000,0.25,50,0.1,0.1395,1.0363,0.0363,-1.0761,0.07610000000000006
2000,0.25,50,0.05,0.1627,-1.0052,0.0052000000000000934,1.0069,0.006899999999999906
2000,0.25,50,0.01,0.1908,-0.0,1.0,-1.0006,0.0005999999999999339
2000,0.25,50,0.0001,0.2428,1.0,0.0,-0.0,1.0
2000,0.25,100,0.1,0.293,-1.0356,0.035600000000000076,1.0849,0.08489999999999998
2000,0.25,100,0.05,0.3295,0.0018,0.9982,-1.0125,0.012499999999999956
2000,0.25,100,0.01,0.4134,0.0,1.0,1.0005,0.0004999999999999449
2000,0.25,100,0.0001,0.3854,1.0,0.0,-1.0,0.0
2000,0.25,150,0.1,0.3695,-0.026,0.974,-1.023,0.02299999999999991
2000,0.25,150,0.05,0.4826,1.0102,0.010199999999999987,-1.0043,0.0042999999999999705
2000,0.25,150,0.01,0.5529,0.0,1.0,1.0002,0.00019999999999997797
2000,0.25,150,0.0001,0.6717,-1.0,0.0,1.0,0.0
2000,0.25,200,0.1,0.5093,1.0251,0.0250999999999999,-0.0037,0.9963
2000,0.25,200,0.05,0.6187,-1.005,0.004999999999999893,-0.0003,0.9997
2000,0.25,200,0.01,0.7766,-0.0,1.0,1.0005,0.0004999999999999449
2000,0.25,200,0.0001,0.9301,-1.0,0.0,1.0,0.0
2000,0.5,50,0.1,0.1409,-1.0271,0.027099999999999902,1.0178,0.017800000000000038
2000,0.5,50,0.05,0.1461,-1.0181,0.018100000000000005,1.0393,0.03929999999999989
2000,0.5,50,0.01,0.1902,0.0,1.0,1.0008,0.0007999999999999119
2000,0.5,50,0.0001,0.225,-1.0,0.0,1.0,0.0
